date,ticker,simfinid_x,open,high,low,close,adj._close,volume,dividend,shares_outstanding,simfinid_y,company_name,industryid,isin,end_of_financial_year_(month),market,main_currency,ma_5,ma_20,volatility_10,price_movement
2019-04-23,AAPL,111052,51.11,51.94,50.98,51.87,49.7,93291964,0.0,18404300000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,48.782,47.60823529411765,0.7200277772419871,0
2019-04-24,AAPL,111052,51.84,52.12,51.76,51.79,49.62,70162436,0.0,18404300000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,49.16,47.72,0.8092445036370086,0
2019-04-25,AAPL,111052,51.71,51.94,51.28,51.32,49.17,74172824,0.0,18404300000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,49.262,47.79631578947368,0.8241197324014145,0
2019-04-26,AAPL,111052,51.23,51.25,50.53,51.08,48.94,74596408,0.0,18404300000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,49.284000000000006,47.8535,0.7639371701914028,1
2019-04-29,AAPL,111052,51.1,51.49,50.97,51.15,49.01,88818864,0.0,18404300000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,49.288,48.028999999999996,0.6697603219726749,0
2019-04-30,AAPL,111052,50.77,50.85,49.78,50.17,48.07,186139692,0.0,18404300000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,48.962,48.142,0.6115154218097562,1
2019-05-01,AAPL,111052,52.47,53.83,52.31,52.63,50.43,259309312,0.0,18404300000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,49.124,48.339999999999996,0.6463366855681092,0
2019-05-02,AAPL,111052,52.46,53.16,52.03,52.29,50.1,127985296,0.0,18404300000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,49.309999999999995,48.5055,0.6862004890053434,1
2019-05-03,AAPL,111052,52.72,52.96,52.56,52.94,50.72,83569512,0.0,18404300000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,49.666,48.698,0.7978477994650216,0
2019-05-06,AAPL,111052,51.07,52.21,50.88,52.12,49.94,129772452,0.0,18404300000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,49.852,48.8355,0.7902039117989048,0
2019-05-07,AAPL,111052,51.47,51.85,50.21,50.72,48.59,155054792,0.0,18404300000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,49.956,48.8685,0.8459110801707359,1
2019-05-08,AAPL,111052,50.48,51.34,50.44,50.73,48.6,105358016,0.0,18404300000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,49.589999999999996,48.909,0.8849362814475881,0
2019-05-09,AAPL,111052,50.1,50.42,49.16,50.18,48.08,139634428,0.0,18404300000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,49.186,48.910000000000004,0.9732511380819632,0
2019-05-10,AAPL,111052,49.35,49.71,48.19,49.3,47.42,164834848,0.19,18404300000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,48.525999999999996,48.897999999999996,1.1323839160520541,0
2019-05-13,AAPL,111052,46.93,47.37,45.71,46.43,44.66,229722492,0.0,18404300000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,47.470000000000006,48.748999999999995,1.8049035061927001,1
2019-05-14,AAPL,111052,46.6,47.42,46.35,47.16,45.37,146118708,0.0,18404300000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,46.826,48.6315,2.0835730528749625,1
2019-05-15,AAPL,111052,46.57,47.94,46.51,47.73,45.91,106178872,0.0,18404300000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,46.288,48.5405,2.0823675094575522,0
2019-05-16,AAPL,111052,47.48,48.12,47.21,47.52,45.71,132125456,0.0,18404300000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,45.814,48.393,2.0384525721460562,0
2019-05-17,AAPL,111052,46.73,47.73,46.69,47.25,45.45,131516360,0.0,18404300000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,45.419999999999995,48.224000000000004,1.7780891741167182,0
2019-05-20,AAPL,111052,45.88,46.09,45.07,45.77,44.03,154449160,0.0,18404300000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,45.294000000000004,47.976,1.6606477986349344,1
2019-05-21,AAPL,111052,46.3,47.0,46.17,46.65,44.87,113459392,0.0,18404300000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,45.194,47.7345,1.5219432023275505,0
2019-05-22,AAPL,111052,46.16,46.43,45.64,45.7,43.95,118994224,0.0,18404300000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,44.80200000000001,47.451,1.3424707735283063,0
2019-05-23,AAPL,111052,44.95,45.13,44.45,44.91,43.2,146118944,0.0,18404300000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,44.3,47.152499999999996,1.1977483504939632,0
2019-05-24,AAPL,111052,45.05,45.53,44.66,44.74,43.04,94858744,0.0,18404300000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,43.818000000000005,46.8575,1.0261844105443865,0
2019-05-28,AAPL,111052,44.73,45.15,44.48,44.56,42.86,111792640,0.0,18404300000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,43.583999999999996,46.55,1.1664709359621117,0
